dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error,run_ts,sampled_with_replacement,effective_pool_size
adult,gaussian_copula,fixed,0.0,1,0,500,7.5075,16.11,True,0.0651390211089318,0.8321627701987566,0.0814834081590733,0.0622104754007739,0.137681135292803,0.711340206185567,0.86625,0.9146989190222112,0.6524711706266965,0.8860101403549858,0,,ok,,2026-07-20T17:07:03.966270+00:00,False,20000
adult,gaussian_copula,fixed,0.0,1,1,500,7.7078,16.17,False,0.0539847759444808,0.8500643516955392,0.0953613004191003,0.0884226091763405,0.1745646086517484,0.6494845360824743,0.84575,0.942133624677634,0.5559413364230479,0.8860101403549858,0,,ok,,2026-07-20T17:07:03.966270+00:00,False,20000
adult,gaussian_copula,fixed,0.0,1,2,500,8.6878,16.23,False,0.1177366096969377,0.9040986130023512,0.128281889875217,0.0758197899391929,0.2400528899770884,0.5979381443298969,0.84125,0.9326693269546328,0.4911084709309256,0.8860101403549858,0,,ok,,2026-07-20T17:07:03.966270+00:00,False,20000
adult,gaussian_copula,fixed,0.0,1,3,500,7.4914,16.23,False,0.1193275039769509,0.7658147596898108,0.1674837024206064,0.0821116639027086,0.2211949652958246,0.5876288659793815,0.83375,0.9414367283037274,0.3875000442555449,0.8860101403549858,0,,ok,,2026-07-20T17:07:03.966270+00:00,False,20000
adult,gaussian_copula,fixed,0.0,1,4,500,9.1128,16.23,False,0.0978354466092763,0.7769044910937927,0.1370869543230849,0.0890125760088446,0.269515593649573,0.5567010309278351,0.835,0.94683376915457,0.4640154885228653,0.8860101403549858,0,,ok,,2026-07-20T17:07:03.966270+00:00,False,20000
adult,gaussian_copula,fixed,0.01,1,11,500,8.5897,16.23,False,0.1416336998960683,0.6799652036879538,0.1895569102092864,0.1010176893311221,0.2520165527001305,0.5360824742268041,0.82275,0.9654020002704352,0.4041068883526355,0.8860101403549858,0,,ok,,2026-07-20T17:07:03.966270+00:00,False,20000
adult,gaussian_copula,fixed,0.01,1,10,500,8.3909,16.23,False,0.1479320734093992,0.637545558314588,0.2066428797010407,0.09497498618021,0.2823030868831777,0.5360824742268041,0.82275,0.9514365684618068,0.3794692691462272,0.8860101403549858,0,,ok,,2026-07-20T17:07:03.966270+00:00,False,20000
adult,gaussian_copula,fixed,0.01,1,9,500,9.16,16.23,False,0.0989011213661205,0.6513037638997478,0.1637759937972462,0.1037404643449419,0.2575745009141031,0.5257731958762887,0.82775,0.9489948751224196,0.4005223858970757,0.8860101403549858,0,,ok,,2026-07-20T17:07:03.966270+00:00,False,20000
adult,gaussian_copula,fixed,0.01,1,8,500,9.2971,16.23,False,0.0945776829130481,0.6921375123357173,0.1403705805863515,0.0919995854063018,0.2406222555728961,0.5360824742268041,0.82975,0.95646136483976,0.4839788370639337,0.8860101403549858,0,,ok,,2026-07-20T17:07:03.966270+00:00,False,20000
adult,gaussian_copula,fixed,0.01,1,7,500,8.4419,16.23,False,0.0880687828405818,0.7457630966201926,0.1248971363105803,0.0883481205085682,0.2240418023644777,0.5567010309278351,0.86925,0.9607619045150444,0.3551815310005831,0.8860101403549858,0,,ok,,2026-07-20T17:07:03.966270+00:00,False,20000
