dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error,run_ts
bank-marketing,gaussian_copula,fixed,0.02,0,2,2000,14.3196,40.18,False,0.0237258125978797,0.9177322132991916,0.0498662579244778,0.0312649256023689,0.2816156091767373,1.0,0.893,0.930736870535337,0.6047821825658459,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.75,2,3,2000,2.7132,24.21,False,0.05448896793561,0.9748830091035806,0.0868649343718782,0.0446153846153846,0.1619403924536345,1.0,0.975,0.6000312773536208,0.6523809523809523,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.05,0,8,2000,14.9507,39.8,False,0.0309616825541984,1.1547076841320043,0.0765151754698076,0.0403058719451509,0.4668310146601818,0.9772727272727272,0.86875,0.9503006520880642,0.5924247732930246,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.75,2,2,2000,2.5001,24.21,False,0.0495403909386578,0.954879993594016,0.0872991515812302,0.0471153846153846,0.1553281546339533,1.0,0.96,0.5932301405680778,0.6574999999999999,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.75,2,0,2000,4.0503,23.75,True,0.0542425229102352,0.953392825610954,0.0900164304951048,0.044076923076923,0.1321453790199717,1.0,0.925,0.5052890229989807,0.6220238095238095,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,1,2000,4.1611,23.98,False,0.048584597391972,0.949159835912153,0.0874144667851778,0.0459230769230769,0.1663399495571933,1.0,0.935,0.6534772991667622,0.6502380952380953,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,2,2000,2.9369,24.21,False,0.0601829235690763,0.9606860182631572,0.0975551877635178,0.0433076923076923,0.1618731658429322,1.0,0.915,0.6418596749405393,0.5710714285714286,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,3,2000,3.3245,24.21,False,0.0644975721103157,0.967269974390364,0.1022138157329092,0.0407307692307692,0.1592824831425867,1.0,0.96,0.6724271001392855,0.6092857142857143,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,4,2000,2.8698,24.21,False,0.061693216092251,0.9788934370898318,0.0993207839085192,0.0467692307692307,0.1794711511206152,1.0,0.935,0.5722563122874996,0.5752380952380952,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,5,2000,3.6621,24.21,False,0.0699049318457542,0.9211171473827956,0.1120700434065709,0.0424615384615384,0.1786125940424585,1.0,0.94,0.6260432347534152,0.6372619047619047,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,6,2000,2.4511,24.21,False,0.0648383078134499,0.9394469263985444,0.0998435156187763,0.0449615384615384,0.164746747976568,1.0,0.935,0.6461777498756781,0.62,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,0,2000,4.0503,23.75,True,0.0542425229102352,0.953392825610954,0.0900164304951048,0.044076923076923,0.1321453790199717,1.0,0.925,0.5052890229989807,0.6220238095238095,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,7,2000,2.9187,24.21,False,0.0534549341087049,0.9434602296779144,0.091361317803508,0.0486538461538461,0.1803498098993793,1.0,0.93,0.6802543141371388,0.5786904761904761,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,9,2000,3.2585,24.21,False,0.0522008121685358,0.9230795299892406,0.0948887991839904,0.0433076923076923,0.1998358505254938,1.0,0.94,0.6727173719822416,0.5288095238095238,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,10,2000,3.3751,24.21,False,0.0699394824969662,0.9096305325782168,0.1066744654534433,0.0451923076923076,0.2125752717985604,1.0,0.915,0.6351170425574524,0.6016666666666667,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,11,2000,3.2201,24.21,False,0.0631706019812368,0.9305463470892056,0.0971188868612436,0.0481923076923076,0.201403292997367,1.0,0.935,0.6435152370215859,0.6151190476190477,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,12,2000,2.9334,24.21,False,0.0601215888408958,0.917859029135048,0.0980977241125167,0.0438076923076923,0.1972751044934663,1.0,0.89,0.6480161382144006,0.6733333333333333,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.2,2,0,2000,4.0503,23.75,True,0.0542425229102352,0.953392825610954,0.0900164304951048,0.044076923076923,0.1321453790199717,1.0,0.925,0.5052890229989807,0.6220238095238095,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.2,2,1,2000,6.1871,23.98,False,0.0599268906165427,0.9827386340575028,0.0961919681333406,0.0431923076923076,0.1376602663133475,1.0,0.975,0.6631192747254231,0.625,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.1,2,8,2000,4.7478,24.21,False,0.0589629396423475,0.9111668839838066,0.0963306533557027,0.0475384615384615,0.2021636164489011,1.0,0.95,0.6536224350882404,0.5742857142857143,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.2,2,2,2000,3.8224,24.21,False,0.0463691055118799,0.960305209546594,0.0894553058690042,0.0416538461538461,0.1720684180695762,1.0,0.94,0.6031100715328829,0.600952380952381,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.05,2,12,2000,2.8881,24.21,False,0.0734913541476799,0.9095158960893188,0.1146674356112199,0.0540384615384615,0.2194621773268441,1.0,0.925,0.6792721152266709,0.5389285714285714,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
