axis,eps_abs,500,worst_500,2000,worst_2000,8000,worst_8000
var_ratio,0.020326041953022927,0.29105544884539153,0.08130416781209171,0.17914343692364992,0.10127422455588442,0.8173704159825907,0.10074020540267747
w1,0.03537660979096541,0.4088183740081297,0.14150643916386163,0.18569114619480442,0.0634962931761616,0.0,0.029583296386482095
tv_cat,0.02172323567348443,0.37210278412535536,0.08689294269393771,0.18999681530843596,0.03719271697070202,0.0,0.020721387276580065
corr_frob,0.03317748725882361,0.6323777558639301,0.13270994903529443,0.5594658095984976,0.09679796595131933,0.1864802921663818,0.07848736446646312
cat_support,0.05154639175257733,0.5000000000000002,0.20618556701030932,0.4205882352941177,0.17182130584192457,0.3615384615384619,0.134020618556701
tstr_auc,0.08274667417940057,0.7708466937178895,0.3309866967176023,0.40527143116708564,0.2814890113590982,0.44434772151849933,0.3664398575447881
c2st_auc,0.019693940642390773,0.4472906098516872,0.07877576256956309,0.0,0.0166171332170042,0.0,0.01064457762052562
